Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,IgD+ B cell %B cell,GCST90001391,17,11.98,0.104,0.104,0.889,1.000,0.845,1.184,0.9292,1.0587,0.8687,1.1324,yes,yes,yes,no,""
CONDUCTIO,IgD+ B cell %B cell,GCST90001391,17,11.98,0.104,0.353,0.998,1.000,0.880,1.136,0.9588,1.0393,0.9198,1.0834,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38+ B cell Absolute Count,GCST90001392,29,20.51,0.181,0.336,0.998,1.000,0.879,1.138,0.9712,1.0108,0.9514,1.0319,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38+ B cell Absolute Count,GCST90001392,29,20.51,0.181,0.769,1.000,1.000,0.907,1.102,0.9846,1.0139,0.9698,1.0293,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38dim B cell %B cell,GCST90001393,15,10.33,0.092,0.073,0.802,0.999,0.834,1.200,0.9408,1.1086,0.8644,1.2065,yes,no,no,no,""
CONDUCTIO,IgD+ CD38dim B cell %B cell,GCST90001393,15,10.33,0.092,0.263,0.992,1.000,0.872,1.147,0.9601,1.0737,0.9062,1.1374,yes,yes,yes,no,""
AVBLOCK,IgD+ CD38dim B cell Absolute Count,GCST90001394,26,16.91,0.159,0.227,0.986,1.000,0.867,1.153,0.9944,1.0353,0.9739,1.0571,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38dim B cell Absolute Count,GCST90001394,26,16.91,0.159,0.618,1.000,1.000,0.898,1.113,0.9884,1.0187,0.9730,1.0347,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38- B cell %B cell,GCST90001395,22,15.16,0.135,0.178,0.969,1.000,0.861,1.162,0.9924,1.0584,0.9600,1.0941,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38- B cell %B cell,GCST90001395,22,15.16,0.135,0.529,1.000,1.000,0.893,1.120,0.9869,1.0331,0.9639,1.0578,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38- B cell Absolute Count,GCST90001396,17,11.62,0.102,0.096,0.873,1.000,0.842,1.187,1.0240,1.1649,0.9581,1.2451,yes,no,no,no,""
CONDUCTIO,IgD+ CD38- B cell Absolute Count,GCST90001396,17,11.62,0.102,0.333,0.998,1.000,0.879,1.138,1.0079,1.1102,0.9589,1.1669,yes,yes,no,no,""
AVBLOCK,Unswitched memory B cell %B cell,GCST90001397,32,22.11,0.193,0.387,0.999,1.000,0.883,1.132,0.9686,1.0393,0.9341,1.0777,yes,yes,yes,yes,""
CONDUCTIO,Unswitched memory B cell %B cell,GCST90001397,32,22.11,0.193,0.820,1.000,1.000,0.910,1.098,0.9664,1.0126,0.9435,1.0373,yes,yes,yes,yes,""
AVBLOCK,Unswitched memory B cell Absolute Count,GCST90001398,20,13.93,0.127,0.147,0.948,1.000,0.855,1.170,0.9432,1.0632,0.8867,1.1310,yes,yes,yes,no,""
CONDUCTIO,Unswitched memory B cell Absolute Count,GCST90001398,20,13.93,0.127,0.462,1.000,1.000,0.888,1.126,0.9514,1.0509,0.9038,1.1063,yes,yes,yes,no,""
AVBLOCK,IgD- CD27- B cell %B cell,GCST90001399,15,17.54,0.155,0.245,0.990,1.000,0.870,1.150,0.9786,1.1034,0.9199,1.1738,yes,yes,no,no,""
CONDUCTIO,IgD- CD27- B cell %B cell,GCST90001399,15,17.54,0.155,0.648,1.000,1.000,0.900,1.111,0.9780,1.0699,0.9337,1.1207,yes,yes,yes,no,""
AVBLOCK,IgD+ B cell Absolute Count,GCST90001400,15,10.78,0.095,0.081,0.830,0.999,0.837,1.195,0.9798,1.0292,0.9553,1.0557,yes,yes,yes,yes,""
CONDUCTIO,IgD+ B cell Absolute Count,GCST90001400,15,10.78,0.095,0.287,0.995,1.000,0.874,1.144,0.9752,1.0204,0.9527,1.0446,yes,yes,yes,yes,""
AVBLOCK,IgD- CD27- B cell Absolute Count,GCST90001401,25,19.93,0.177,0.318,0.997,1.000,0.877,1.140,0.9755,1.0860,0.9230,1.1478,yes,yes,yes,no,""
CONDUCTIO,IgD- CD27- B cell Absolute Count,GCST90001401,25,19.93,0.177,0.748,1.000,1.000,0.906,1.104,0.9996,1.0892,0.9563,1.1385,yes,yes,yes,no,""
AVBLOCK,Switched memory B cell %B cell,GCST90001402,13,9.79,0.081,0.064,0.764,0.997,0.829,1.206,0.9408,1.0884,0.8727,1.1734,yes,yes,yes,no,""
CONDUCTIO,Switched memory B cell %B cell,GCST90001402,13,9.79,0.081,0.235,0.988,1.000,0.868,1.152,0.9545,1.0556,0.9062,1.1119,yes,yes,yes,no,""
AVBLOCK,Switched memory B cell Absolute Count,GCST90001403,23,15.48,0.140,0.187,0.973,1.000,0.862,1.160,0.9939,1.0923,0.9467,1.1468,yes,yes,yes,no,""
CONDUCTIO,Switched memory B cell Absolute Count,GCST90001403,23,15.48,0.140,0.546,1.000,1.000,0.894,1.119,0.9786,1.0574,0.9403,1.1005,yes,yes,yes,no,""
AVBLOCK,Plasma Blast-Plasma Cell %B cell,GCST90001404,27,18.05,0.164,0.260,0.992,1.000,0.871,1.148,0.9450,1.0136,0.9114,1.0509,yes,yes,yes,yes,""
CONDUCTIO,Plasma Blast-Plasma Cell %B cell,GCST90001404,27,18.05,0.164,0.671,1.000,1.000,0.901,1.110,0.9479,1.0025,0.9209,1.0319,yes,yes,yes,yes,""
AVBLOCK,Plasma Blast-Plasma Cell Absolute Count,GCST90001405,24,14.96,0.139,0.173,0.966,1.000,0.860,1.163,0.9899,1.0464,0.9620,1.0767,yes,yes,yes,yes,""
CONDUCTIO,Plasma Blast-Plasma Cell Absolute Count,GCST90001405,24,14.96,0.139,0.518,1.000,1.000,0.892,1.121,0.9930,1.0351,0.9720,1.0575,yes,yes,yes,yes,""
AVBLOCK,Memory B cell %B cell,GCST90001406,29,21.50,0.187,0.368,0.999,1.000,0.881,1.134,0.9154,0.9845,0.8817,1.0222,yes,yes,yes,no,""
CONDUCTIO,Memory B cell %B cell,GCST90001406,29,21.50,0.187,0.802,1.000,1.000,0.909,1.100,0.9446,0.9984,0.9180,1.0273,yes,yes,yes,yes,""
AVBLOCK,Memory B cell Absolute Count,GCST90001407,17,11.95,0.107,0.103,0.888,1.000,0.844,1.184,0.9777,1.0309,0.9513,1.0595,yes,yes,yes,yes,""
CONDUCTIO,Memory B cell Absolute Count,GCST90001407,17,11.95,0.107,0.351,0.998,1.000,0.880,1.136,0.9778,1.0173,0.9580,1.0383,yes,yes,yes,yes,""
AVBLOCK,Naive-mature B cell %B cell,GCST90001408,29,21.04,0.183,0.353,0.998,1.000,0.880,1.136,1.0053,1.0829,0.9674,1.1253,yes,yes,yes,no,""
CONDUCTIO,Naive-mature B cell %B cell,GCST90001408,29,21.04,0.183,0.787,1.000,1.000,0.908,1.101,0.9988,1.0485,0.9741,1.0751,yes,yes,yes,yes,""
AVBLOCK,Naive-mature B cell Absolute Count,GCST90001409,23,15.88,0.141,0.198,0.978,1.000,0.863,1.158,0.9898,1.0559,0.9573,1.0917,yes,yes,yes,yes,""
CONDUCTIO,Naive-mature B cell Absolute Count,GCST90001409,23,15.88,0.141,0.567,1.000,1.000,0.895,1.117,0.9930,1.0424,0.9685,1.0687,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38+ B cell %B cell,GCST90001410,18,11.88,0.112,0.101,0.885,1.000,0.844,1.185,0.9689,1.1106,0.9031,1.1916,yes,yes,no,no,""
CONDUCTIO,IgD- CD38+ B cell %B cell,GCST90001410,18,11.88,0.112,0.348,0.998,1.000,0.880,1.137,0.9652,1.0695,0.9155,1.1276,yes,yes,yes,no,""
AVBLOCK,IgD+ CD24+ B cell %B cell,GCST90001411,20,13.61,0.119,0.139,0.941,1.000,0.853,1.172,0.9004,1.0351,0.8379,1.1122,yes,yes,no,no,""
CONDUCTIO,IgD+ CD24+ B cell %B cell,GCST90001411,20,13.61,0.119,0.444,1.000,1.000,0.887,1.127,0.9275,1.0294,0.8789,1.0863,yes,yes,yes,no,""
AVBLOCK,IgD+ CD24+ B cell Absolute Count,GCST90001412,23,16.15,0.151,0.205,0.980,1.000,0.865,1.157,0.9547,1.0790,0.8963,1.1493,yes,yes,yes,no,""
CONDUCTIO,IgD+ CD24+ B cell Absolute Count,GCST90001412,23,16.15,0.151,0.580,1.000,1.000,0.896,1.116,0.9857,1.0796,0.9405,1.1315,yes,yes,yes,no,""
AVBLOCK,IgD- CD24- B cell %B cell,GCST90001413,18,12.58,0.109,0.116,0.911,1.000,0.848,1.179,0.9497,1.0313,0.9102,1.0761,yes,yes,yes,yes,""
CONDUCTIO,IgD- CD24- B cell %B cell,GCST90001413,18,12.58,0.109,0.387,0.999,1.000,0.883,1.133,0.9590,1.0280,0.9252,1.0655,yes,yes,yes,yes,""
AVBLOCK,IgD- CD24- B cell Absolute Count,GCST90001414,18,12.03,0.105,0.105,0.891,1.000,0.845,1.184,0.9339,1.0456,0.8810,1.1084,yes,yes,yes,no,""
CONDUCTIO,IgD- CD24- B cell Absolute Count,GCST90001414,18,12.03,0.105,0.356,0.998,1.000,0.881,1.136,0.9520,1.0398,0.9097,1.0882,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD24- B cell %B cell,GCST90001415,18,12.59,0.108,0.116,0.912,1.000,0.848,1.179,0.9842,1.0706,0.9424,1.1180,yes,yes,yes,no,""
CONDUCTIO,IgD+ CD24- B cell %B cell,GCST90001415,18,12.59,0.108,0.387,0.999,1.000,0.883,1.132,0.9934,1.0572,0.9620,1.0918,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD24- B cell Absolute Count,GCST90001416,23,15.20,0.138,0.179,0.970,1.000,0.861,1.162,0.9951,1.0373,0.9740,1.0597,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD24- B cell Absolute Count,GCST90001416,23,15.20,0.138,0.531,1.000,1.000,0.893,1.120,0.9935,1.0249,0.9776,1.0416,yes,yes,yes,yes,""
AVBLOCK,CD24+ CD27+ B cell %B cell,GCST90001417,26,17.98,0.161,0.258,0.992,1.000,0.871,1.148,0.9313,1.0038,0.8959,1.0434,yes,yes,yes,no,""
CONDUCTIO,CD24+ CD27+ B cell %B cell,GCST90001417,26,17.98,0.161,0.668,1.000,1.000,0.901,1.110,0.9567,1.0119,0.9294,1.0417,yes,yes,yes,yes,""
AVBLOCK,CD24+ CD27+ B cell Absolute Count,GCST90001418,26,17.49,0.158,0.243,0.989,1.000,0.869,1.150,0.9812,1.0329,0.9555,1.0607,yes,yes,yes,yes,""
CONDUCTIO,CD24+ CD27+ B cell Absolute Count,GCST90001418,26,17.49,0.158,0.646,1.000,1.000,0.900,1.111,0.9770,1.0153,0.9579,1.0356,yes,yes,yes,yes,""
AVBLOCK,CD20- B cell %B cell,GCST90001419,19,12.38,0.111,0.112,0.904,1.000,0.847,1.181,0.9408,1.0399,0.8934,1.0951,yes,yes,yes,no,""
CONDUCTIO,CD20- B cell %B cell,GCST90001419,19,12.38,0.111,0.376,0.999,1.000,0.882,1.134,0.9649,1.0367,0.9298,1.0758,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38+ B cell Absolute Count,GCST90001420,20,12.19,0.118,0.108,0.897,1.000,0.846,1.182,0.9823,1.0547,0.9469,1.0941,yes,yes,yes,yes,""
CONDUCTIO,IgD- CD38+ B cell Absolute Count,GCST90001420,20,12.19,0.118,0.365,0.999,1.000,0.881,1.135,0.9876,1.0417,0.9608,1.0708,yes,yes,yes,yes,""
AVBLOCK,CD20- B cell Absolute Count,GCST90001421,22,14.10,0.130,0.151,0.952,1.000,0.856,1.169,0.9779,1.0341,0.9502,1.0643,yes,yes,yes,yes,""
CONDUCTIO,CD20- B cell Absolute Count,GCST90001421,22,14.10,0.130,0.472,1.000,1.000,0.889,1.125,0.9834,1.0286,0.9609,1.0528,yes,yes,yes,yes,""
AVBLOCK,CD20- CD38- B cell %B cell,GCST90001422,23,14.63,0.137,0.164,0.961,1.000,0.858,1.165,0.9502,1.0220,0.9151,1.0611,yes,yes,yes,yes,""
CONDUCTIO,CD20- CD38- B cell %B cell,GCST90001422,23,14.63,0.137,0.501,1.000,1.000,0.891,1.122,0.9766,1.0348,0.9479,1.0661,yes,yes,yes,yes,""
AVBLOCK,CD20- CD38- B cell Absolute Count,GCST90001423,14,9.07,0.085,0.053,0.707,0.994,0.823,1.214,0.9200,1.0909,0.8426,1.1911,yes,yes,yes,no,""
CONDUCTIO,CD20- CD38- B cell Absolute Count,GCST90001423,14,9.07,0.085,0.199,0.978,1.000,0.864,1.158,0.9474,1.1040,0.8755,1.1947,yes,yes,no,no,""
AVBLOCK,IgD+ B cell %Lymphocyte,GCST90001424,18,13.27,0.121,0.132,0.932,1.000,0.852,1.174,0.9445,1.0157,0.9097,1.0546,yes,yes,yes,yes,""
CONDUCTIO,IgD+ B cell %Lymphocyte,GCST90001424,18,13.27,0.121,0.426,0.999,1.000,0.886,1.129,0.9713,1.0136,0.9502,1.0361,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38+ B cell %lymphocyte,GCST90001425,30,18.58,0.179,0.276,0.994,1.000,0.873,1.145,1.0033,1.0768,0.9673,1.1167,yes,yes,yes,no,""
CONDUCTIO,IgD- CD38+ B cell %lymphocyte,GCST90001425,30,18.58,0.179,0.694,1.000,1.000,0.903,1.108,0.9975,1.0465,0.9731,1.0727,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38dim B cell %lymphocyte,GCST90001426,23,15.68,0.145,0.192,0.976,1.000,0.863,1.159,0.9772,1.0584,0.9378,1.1029,yes,yes,yes,no,""
CONDUCTIO,IgD- CD38dim B cell %lymphocyte,GCST90001426,23,15.68,0.145,0.557,1.000,1.000,0.895,1.118,0.9599,1.0226,0.9291,1.0565,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38- B cell %lymphocyte,GCST90001427,28,18.80,0.167,0.283,0.994,1.000,0.874,1.144,0.9371,1.0682,0.8759,1.1428,yes,yes,yes,no,""
CONDUCTIO,IgD- CD38- B cell %lymphocyte,GCST90001427,28,18.80,0.167,0.703,1.000,1.000,0.903,1.107,0.9535,1.0359,0.9135,1.0812,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38dim B cell %B cell,GCST90001428,26,17.29,0.153,0.238,0.988,1.000,0.869,1.151,0.9937,1.0482,0.9666,1.0775,yes,yes,yes,yes,""
CONDUCTIO,IgD- CD38dim B cell %B cell,GCST90001428,26,17.29,0.153,0.637,1.000,1.000,0.899,1.112,0.9940,1.0346,0.9737,1.0561,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38+ B cell %lymphocyte,GCST90001429,25,16.42,0.153,0.213,0.983,1.000,0.866,1.155,0.9830,1.0742,0.9389,1.1246,yes,yes,yes,no,""
CONDUCTIO,IgD+ CD38+ B cell %lymphocyte,GCST90001429,25,16.42,0.153,0.594,1.000,1.000,0.897,1.115,0.9836,1.0493,0.9513,1.0849,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38dim B cell %lymphocyte,GCST90001430,33,21.49,0.200,0.367,0.999,1.000,0.881,1.134,0.9764,1.0193,0.9549,1.0422,yes,yes,yes,yes,""
CONDUCTIO,IgD+ CD38dim B cell %lymphocyte,GCST90001430,33,21.49,0.200,0.801,1.000,1.000,0.909,1.100,0.9820,1.0142,0.9658,1.0312,yes,yes,yes,yes,""
AVBLOCK,IgD+ CD38- B cell %lymphocyte,GCST90001431,20,14.40,0.128,0.159,0.958,1.000,0.857,1.167,0.9642,1.0586,0.9189,1.1109,yes,yes,yes,no,""
CONDUCTIO,IgD+ CD38- B cell %lymphocyte,GCST90001431,20,14.40,0.128,0.488,1.000,1.000,0.890,1.123,0.9911,1.0595,0.9576,1.0966,yes,yes,yes,yes,""
AVBLOCK,Unswitched memory B cell %lymphocyte,GCST90001432,22,16.30,0.150,0.209,0.982,1.000,0.865,1.156,0.9304,1.0399,0.8786,1.1014,yes,yes,yes,no,""
CONDUCTIO,Unswitched memory B cell %lymphocyte,GCST90001432,22,16.30,0.150,0.588,1.000,1.000,0.896,1.116,0.9423,1.0220,0.9036,1.0657,yes,yes,yes,no,""
AVBLOCK,IgD- CD27- B cell %lymphocyte,GCST90001433,18,16.57,0.147,0.217,0.984,1.000,0.866,1.155,0.9725,1.0970,0.9139,1.1673,yes,yes,yes,no,""
CONDUCTIO,IgD- CD27- B cell %lymphocyte,GCST90001433,18,16.57,0.147,0.602,1.000,1.000,0.897,1.115,0.9547,1.0549,0.9067,1.1107,yes,yes,yes,no,""
AVBLOCK,Switched memory B cell %lymphocyte,GCST90001434,18,13.58,0.121,0.139,0.940,1.000,0.853,1.172,0.9536,1.0703,0.8984,1.1360,yes,yes,yes,no,""
CONDUCTIO,Switched memory B cell %lymphocyte,GCST90001434,18,13.58,0.121,0.443,1.000,1.000,0.887,1.127,0.9571,1.0306,0.9212,1.0707,yes,yes,yes,yes,""
AVBLOCK,Plasma Blast-Plasma Cell %lymphocyte,GCST90001435,18,12.36,0.109,0.111,0.904,1.000,0.847,1.181,0.9765,1.0238,0.9530,1.0491,yes,yes,yes,yes,""
CONDUCTIO,Plasma Blast-Plasma Cell %lymphocyte,GCST90001435,18,12.36,0.109,0.375,0.999,1.000,0.882,1.134,0.9827,1.0182,0.9649,1.0369,yes,yes,yes,yes,""
AVBLOCK,Memory B cell %lymphocyte,GCST90001436,28,19.98,0.184,0.320,0.997,1.000,0.877,1.140,0.9781,1.0316,0.9516,1.0604,yes,yes,yes,yes,""
CONDUCTIO,Memory B cell %lymphocyte,GCST90001436,28,19.98,0.184,0.750,1.000,1.000,0.906,1.104,0.9757,1.0156,0.9558,1.0368,yes,yes,yes,yes,""
AVBLOCK,Naive-mature B cell %lymphocyte,GCST90001437,21,14.26,0.125,0.155,0.955,1.000,0.856,1.168,0.9216,1.0465,0.8632,1.1174,yes,yes,yes,no,""
CONDUCTIO,Naive-mature B cell %lymphocyte,GCST90001437,21,14.26,0.125,0.480,1.000,1.000,0.890,1.124,0.9290,1.0216,0.8845,1.0730,yes,yes,yes,no,""
AVBLOCK,IgD- CD38dim B cell Absolute Count,GCST90001438,17,10.69,0.102,0.079,0.825,0.999,0.836,1.196,0.9494,1.0895,0.8844,1.1696,yes,yes,yes,no,""
CONDUCTIO,IgD- CD38dim B cell Absolute Count,GCST90001438,17,10.69,0.102,0.282,0.994,1.000,0.874,1.145,0.9637,1.0683,0.9138,1.1267,yes,yes,yes,no,""
AVBLOCK,IgD+ CD24+ B cell %lymphocyte,GCST90001439,15,11.99,0.110,0.104,0.889,1.000,0.845,1.184,0.9012,1.0498,0.8330,1.1357,yes,no,no,no,""
CONDUCTIO,IgD+ CD24+ B cell %lymphocyte,GCST90001439,15,11.99,0.110,0.353,0.998,1.000,0.880,1.136,0.9333,1.0461,0.8799,1.1096,yes,yes,yes,no,""
AVBLOCK,IgD- CD24- B cell %lymphocyte,GCST90001440,24,16.42,0.139,0.213,0.983,1.000,0.866,1.155,0.9013,1.0054,0.8519,1.0638,yes,yes,no,no,""
CONDUCTIO,IgD- CD24- B cell %lymphocyte,GCST90001440,24,16.42,0.139,0.594,1.000,1.000,0.897,1.115,0.9326,1.0046,0.8975,1.0438,yes,yes,yes,no,""
AVBLOCK,IgD+ CD24- B cell %lymphocyte,GCST90001441,21,13.93,0.126,0.147,0.948,1.000,0.855,1.170,0.8925,1.0258,0.8307,1.1022,yes,no,no,no,""
CONDUCTIO,IgD+ CD24- B cell %lymphocyte,GCST90001441,21,13.93,0.126,0.462,1.000,1.000,0.888,1.126,0.9306,1.0247,0.8855,1.0768,yes,yes,yes,no,""
AVBLOCK,CD24+ CD27+ B cell %lymphocyte,GCST90001442,24,17.59,0.164,0.246,0.990,1.000,0.870,1.150,0.9822,1.0277,0.9596,1.0520,yes,yes,yes,yes,""
CONDUCTIO,CD24+ CD27+ B cell %lymphocyte,GCST90001442,24,17.59,0.164,0.650,1.000,1.000,0.900,1.111,0.9826,1.0163,0.9656,1.0342,yes,yes,yes,yes,""
AVBLOCK,CD20- B cell %lymphocyte,GCST90001443,17,10.94,0.100,0.083,0.839,0.999,0.838,1.194,0.9648,1.0329,0.9314,1.0699,yes,yes,yes,yes,""
CONDUCTIO,CD20- B cell %lymphocyte,GCST90001443,17,10.94,0.100,0.295,0.995,1.000,0.875,1.143,0.9731,1.0241,0.9478,1.0515,yes,yes,yes,yes,""
AVBLOCK,CD20- CD38- B cell %lymphocyte,GCST90001444,23,14.76,0.137,0.168,0.964,1.000,0.859,1.164,0.9284,1.0181,0.8852,1.0678,yes,yes,yes,no,""
CONDUCTIO,CD20- CD38- B cell %lymphocyte,GCST90001444,23,14.76,0.137,0.508,1.000,1.000,0.891,1.122,0.9561,1.0443,0.9135,1.0930,yes,yes,yes,yes,""
AVBLOCK,IgD- CD38- B cell %B cell,GCST90001445,12,8.57,0.073,0.046,0.662,0.991,0.819,1.221,0.9117,1.1090,0.8241,1.2269,yes,no,no,no,""
CONDUCTIO,IgD- CD38- B cell %B cell,GCST90001445,12,8.57,0.073,0.175,0.968,1.000,0.860,1.163,0.9509,1.1011,0.8817,1.1876,yes,yes,no,no,""
AVBLOCK,IgD- CD38- B cell Absolute Count,GCST90001446,14,9.86,0.087,0.065,0.769,0.998,0.830,1.205,0.9467,1.0799,0.8846,1.1557,yes,yes,yes,no,""
CONDUCTIO,IgD- CD38- B cell Absolute Count,GCST90001446,14,9.86,0.087,0.238,0.988,1.000,0.869,1.151,0.9469,1.0514,0.8972,1.1097,yes,yes,yes,no,""
AVBLOCK,IgD+ CD38+ B cell %B cell,GCST90001447,25,15.95,0.151,0.199,0.978,1.000,0.864,1.158,1.0009,1.0789,0.9629,1.1214,yes,yes,yes,no,""
CONDUCTIO,IgD+ CD38+ B cell %B cell,GCST90001447,25,15.95,0.151,0.570,1.000,1.000,0.895,1.117,0.9968,1.0542,0.9685,1.0850,yes,yes,yes,yes,""
AVBLOCK,CD11c+ monocyte Absolute Count,GCST90001448,15,11.19,0.105,0.088,0.852,0.999,0.840,1.191,0.9452,1.0494,0.8956,1.1075,yes,yes,yes,no,""
CONDUCTIO,CD11c+ monocyte Absolute Count,GCST90001448,15,11.19,0.105,0.309,0.996,1.000,0.876,1.141,0.9627,1.0384,0.9258,1.0798,yes,yes,yes,yes,""
AVBLOCK,CD11c+ monocyte %monocyte,GCST90001449,20,15.72,0.147,0.193,0.976,1.000,0.863,1.159,0.9537,1.0522,0.9066,1.1069,yes,yes,yes,no,""
CONDUCTIO,CD11c+ monocyte %monocyte,GCST90001449,20,15.72,0.147,0.559,1.000,1.000,0.895,1.118,0.9650,1.0387,0.9290,1.0789,yes,yes,yes,yes,""
AVBLOCK,CD62L- monocyte Absolute Count,GCST90001450,20,18.44,0.166,0.272,0.993,1.000,0.873,1.146,0.9737,1.0509,0.9361,1.0931,yes,yes,yes,yes,""
CONDUCTIO,CD62L- monocyte Absolute Count,GCST90001450,20,18.44,0.166,0.688,1.000,1.000,0.902,1.108,0.9676,1.0239,0.9398,1.0542,yes,yes,yes,yes,""
AVBLOCK,CD62L- monocyte %monocyte,GCST90001451,23,23.48,0.213,0.431,1.000,1.000,0.886,1.128,0.9699,1.0594,0.9267,1.1088,yes,yes,yes,no,""
CONDUCTIO,CD62L- monocyte %monocyte,GCST90001451,23,23.48,0.213,0.856,1.000,1.000,0.913,1.095,0.9728,1.0409,0.9394,1.0778,yes,yes,yes,yes,""
AVBLOCK,CD11c+ CD62L- monocyte Absolute Count,GCST90001452,22,16.41,0.161,0.212,0.982,1.000,0.866,1.155,0.9600,1.0314,0.9252,1.0702,yes,yes,yes,yes,""
CONDUCTIO,CD11c+ CD62L- monocyte Absolute Count,GCST90001452,22,16.41,0.161,0.594,1.000,1.000,0.897,1.115,0.9784,1.0324,0.9517,1.0614,yes,yes,yes,yes,""
AVBLOCK,CD11c+ CD62L- monocyte %monocyte,GCST90001453,18,14.40,0.131,0.159,0.958,1.000,0.857,1.167,0.9168,1.0421,0.8582,1.1132,yes,yes,yes,no,""
CONDUCTIO,CD11c+ CD62L- monocyte %monocyte,GCST90001453,18,14.40,0.131,0.488,1.000,1.000,0.890,1.123,0.9259,1.0174,0.8819,1.0680,yes,yes,yes,no,""
AVBLOCK,CD62L- HLA DR++ monocyte Absolute Count,GCST90001454,19,13.67,0.132,0.141,0.942,1.000,0.854,1.171,0.9551,1.0936,0.8907,1.1727,yes,yes,yes,no,""
CONDUCTIO,CD62L- HLA DR++ monocyte Absolute Count,GCST90001454,19,13.67,0.132,0.448,1.000,1.000,0.887,1.127,0.9545,1.0658,0.9017,1.1282,yes,yes,yes,no,""
AVBLOCK,CD62L- HLA DR++ monocyte %monocyte,GCST90001455,12,9.08,0.084,0.053,0.708,0.994,0.824,1.214,0.9444,1.1164,0.8663,1.2170,yes,no,no,no,""
CONDUCTIO,CD62L- HLA DR++ monocyte %monocyte,GCST90001455,12,9.08,0.084,0.199,0.978,1.000,0.864,1.158,0.9413,1.0578,0.8864,1.1234,yes,yes,yes,no,""
AVBLOCK,CD11c+ HLA DR++ monocyte Absolute Count,GCST90001456,17,13.36,0.122,0.134,0.935,1.000,0.852,1.174,0.9489,1.0699,0.8919,1.1383,yes,yes,yes,no,""
CONDUCTIO,CD11c+ HLA DR++ monocyte Absolute Count,GCST90001456,17,13.36,0.122,0.430,1.000,1.000,0.886,1.128,0.9549,1.0422,0.9127,1.0903,yes,yes,yes,yes,""
AVBLOCK,CD11c+ HLA DR++ monocyte %monocyte,GCST90001457,18,14.54,0.133,0.162,0.960,1.000,0.858,1.166,0.9725,1.0533,0.9333,1.0975,yes,yes,yes,yes,""
CONDUCTIO,CD11c+ HLA DR++ monocyte %monocyte,GCST90001457,18,14.54,0.133,0.496,1.000,1.000,0.891,1.123,0.9756,1.0309,0.9483,1.0606,yes,yes,yes,yes,""
AVBLOCK,Myeloid Dendritic Cell Absolute Count,GCST90001458,23,32.51,0.312,0.691,1.000,1.000,0.902,1.108,0.9738,1.0368,0.9428,1.0709,yes,yes,yes,yes,""
CONDUCTIO,Myeloid Dendritic Cell Absolute Count,GCST90001458,23,32.51,0.312,0.975,1.000,1.000,0.926,1.080,0.9839,1.0311,0.9604,1.0563,yes,yes,yes,yes,""
AVBLOCK,Myeloid Dendritic Cell %Dendritic Cell,GCST90001459,26,32.61,0.301,0.693,1.000,1.000,0.903,1.108,0.9430,1.0368,0.8980,1.0888,yes,yes,yes,no,""
CONDUCTIO,Myeloid Dendritic Cell %Dendritic Cell,GCST90001459,26,32.61,0.301,0.975,1.000,1.000,0.926,1.080,0.9653,1.0363,0.9306,1.0750,yes,yes,yes,yes,""
AVBLOCK,Plasmacytoid Dendritic Cell Absolute Count,GCST90001460,30,20.53,0.213,0.337,0.998,1.000,0.879,1.138,0.9810,1.0398,0.9520,1.0715,yes,yes,yes,yes,""
CONDUCTIO,Plasmacytoid Dendritic Cell Absolute Count,GCST90001460,30,20.53,0.213,0.769,1.000,1.000,0.907,1.102,0.9978,1.0390,0.9771,1.0610,yes,yes,yes,yes,""
AVBLOCK,Dendritic Cell Absolute Count,GCST90001461,21,26.87,0.260,0.536,1.000,1.000,0.893,1.119,0.9814,1.1008,0.9249,1.1680,yes,yes,no,no,""
