Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,CD14+ CD16+ monocyte %monocyte,GCST90001585,25,36.28,0.340,0.774,1.000,1.000,0.907,1.102,0.9081,1.0075,0.8608,1.0629,yes,yes,no,no,""
CONDUCTIO,CD14+ CD16+ monocyte %monocyte,GCST90001585,25,36.28,0.340,0.989,1.000,1.000,0.929,1.076,0.9254,0.9929,0.8924,1.0296,yes,yes,yes,no,""
AVBLOCK,CD14+ CD16- monocyte %monocyte,GCST90001586,24,22.61,0.219,0.403,0.999,1.000,0.884,1.131,0.9824,1.0270,0.9601,1.0509,yes,yes,yes,yes,""
CONDUCTIO,CD14+ CD16- monocyte %monocyte,GCST90001586,24,22.61,0.219,0.834,1.000,1.000,0.911,1.097,0.9789,1.0134,0.9616,1.0316,yes,yes,yes,yes,""
AVBLOCK,CD16+ monocyte %monocyte,GCST90001587,22,21.59,0.204,0.370,0.999,1.000,0.882,1.134,0.9325,1.0564,0.8744,1.1266,yes,yes,yes,no,""
CONDUCTIO,CD16+ monocyte %monocyte,GCST90001587,22,21.59,0.204,0.804,1.000,1.000,0.909,1.100,0.9486,1.0506,0.9000,1.1073,yes,yes,yes,no,""
AVBLOCK,T/B cell,GCST90001588,29,21.45,0.193,0.366,0.999,1.000,0.881,1.135,0.9361,1.0223,0.8945,1.0699,yes,yes,yes,no,""
CONDUCTIO,T/B cell,GCST90001588,29,21.45,0.193,0.800,1.000,1.000,0.909,1.100,0.9518,1.0208,0.9180,1.0584,yes,yes,yes,yes,""
AVBLOCK,CD4+/CD8+ T cell,GCST90001589,15,10.89,0.088,0.082,0.836,0.999,0.838,1.194,0.9230,1.0570,0.8607,1.1335,yes,yes,yes,no,""
CONDUCTIO,CD4+/CD8+ T cell,GCST90001589,15,10.89,0.088,0.293,0.995,1.000,0.875,1.143,0.9590,1.0665,0.9079,1.1266,yes,yes,yes,no,""
AVBLOCK,CD4+ T cell Absolute Count,GCST90001590,24,17.38,0.150,0.240,0.989,1.000,0.869,1.151,0.9841,1.0708,0.9421,1.1184,yes,yes,yes,no,""
CONDUCTIO,CD4+ T cell Absolute Count,GCST90001590,24,17.38,0.150,0.640,1.000,1.000,0.900,1.112,0.9894,1.0503,0.9594,1.0831,yes,yes,yes,yes,""
