outcome,nIV,minF,medF,OR,L,U,P,WM_OR,WM_P,EG_OR,EG_P,EG_int,EG_int_P,Q,Q_df,Q_P
AVBLOCK,232,39.3632951793444,85.4002626769463,1.13780047088786,1.01882560932229,1.27066879719854,0.0219671981273584,1.10012284755147,0.268492750457045,1.07813788015716,0.52519124429896,0.00172465561121098,0.604863199606471,299.353993218482,231,0.00163156929462981
CONDUCTIO,232,39.3632951793444,85.4002626769463,1.09704327156078,1.01411293576954,1.18675533781996,0.0209211946030245,1.08567739567379,0.207249122243736,1.04352298659,0.613213777455951,0.00160075569647821,0.499686809687547,270.300520998611,231,0.0388196066288153
