id,trait,nIV,method,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001790,CD25 on memory B cell,24,IVW,-0.0692569065300796,0.0182830287677892,0.933086933156986,0.900242018003156,0.967130179903752,0.00015183832791382,0.110993817705003
ebi-a-GCST90001943,CD25 on activated & secreting CD4 regulatory T cell,21,IVW,-0.0447000262582621,0.0124000438021656,0.956284298991475,0.933322842143646,0.979810649868216,0.000312359616769975,0.114167439929426
ebi-a-GCST90001649,HLA DR+ Natural Killer %Natural Killer,23,IVW,-0.066618985252096,0.0220410476261807,0.935551592391467,0.895995902966753,0.976853553825556,0.00250699134257273,0.610870223806888
ebi-a-GCST90001406,Memory B cell %B cell,29,IVW,-0.0519621650195346,0.0185672166609693,0.949364785361506,0.915436837432738,0.984550171928952,0.00513250809762563,0.67219643138818
ebi-a-GCST90002103,CD45RA on CD39+ resting CD4 regulatory T cell,8,IVW,-0.0841046457924635,0.0307863364263868,0.919335046516766,0.865501764910091,0.976516700508153,0.00629736444745791,0.67219643138818
ebi-a-GCST90001483,CD39+ resting CD4 regulatory T cell Absolute Count,28,IVW,-0.0396587300359935,0.0147136185485178,0.961117383685267,0.933795867060969,0.989238288373898,0.00703093030208058,0.67219643138818
ebi-a-GCST90001577,Transitional B cell Absolute Count,31,IVW,0.0644950432864702,0.0240531984803617,1.06662029130032,1.01750217331145,1.1181094995709,0.00733257836411173,0.67219643138818
ebi-a-GCST90001396,IgD+ CD38- B cell Absolute Count,17,IVW,0.088180181746183,0.0328998383766248,1.09218489608185,1.02397949144191,1.16493333821519,0.00735645889344109,0.67219643138818
ebi-a-GCST90002100,CD45RA on naive CD8+ T cell,22,IVW,-0.064586064091309,0.0247090066330959,0.937455429540385,0.893136622495078,0.983973403665451,0.00895238035949249,0.727132226976557
ebi-a-GCST90001770,CD24 on IgD- CD38dim B cell,7,IVW,0.116316475156729,0.0479750071456868,1.12335132867151,1.02253563701224,1.23410682420347,0.0153285414430537,0.991312533955065
ebi-a-GCST90001655,CD28+ CD4-CD8- T cell %T cell,23,IVW,0.0634661210370462,0.0267513986893183,1.06552338636263,1.01109447181653,1.12288230084568,0.0176709744213616,0.991312533955065
ebi-a-GCST90001773,CD24 on switched memory B cell,38,IVW,0.0321835719480006,0.0136010239235906,1.0327070639532,1.00554085914889,1.06060720480473,0.0179687736773731,0.991312533955065
ebi-a-GCST90001735,CD19 on IgD- CD38dim B cell,28,IVW,-0.0465417066123946,0.0203178800430072,0.95452474974603,0.917259598383585,0.993303858017199,0.0219820844241273,0.991312533955065
ebi-a-GCST90001685,CD28- CD8+ T cell %T cell,16,IVW,-0.0901466266802819,0.0394299631461822,0.913797188399524,0.845836369756455,0.987218487385813,0.0222398248395173,0.991312533955065
ebi-a-GCST90001472,CD62L- CD86+ myeloid Dendritic Cell Absolute Count,19,IVW,0.0466611474166037,0.0204913293282956,1.04776691039562,1.00651930066342,1.09070486556629,0.0227792600291044,0.991312533955065
ebi-a-GCST90001583,Monocyte Absolute Count,27,IVW,-0.0286351585017647,0.0127725799649663,0.971770942165067,0.947745364900255,0.996405573701505,0.0249662596373364,0.991312533955065
ebi-a-GCST90001408,Naive-mature B cell %B cell,29,IVW,0.0424741671548069,0.018986836629643,1.04338910231637,1.00527382527576,1.08294953221718,0.0252842278846991,0.991312533955065
ebi-a-GCST90001662,CD28- CD8dim T cell %CD8dim T cell,15,IVW,-0.0211631946907278,0.00957610364154432,0.979059174272201,0.960854431234752,0.997608831854753,0.027105121396391,0.991312533955065
ebi-a-GCST90001669,CD28+ CD45RA- CD8dim T cell Absolute Count,37,IVW,0.00827222627152468,0.0037541809206709,1.00830653567507,1.00091444952125,1.01575321484403,0.0275616159551323,0.991312533955065
ebi-a-GCST90001740,CD19 on switched memory B cell,27,IVW,-0.0558482913744553,0.0258669270120666,0.945682593214683,0.898932376340464,0.994864119534762,0.0308453806031263,0.991312533955065
ebi-a-GCST90001425,IgD- CD38+ B cell %lymphocyte,30,IVW,0.0386062563241158,0.0180324718562627,1.0393611611872,1.00326793959564,1.07675286007825,0.0322796997575958,0.991312533955065
ebi-a-GCST90002089,CD11c on monocyte,19,IVW,-0.0410997366961632,0.0194854660024778,0.959733404535244,0.923770836948485,0.997096001453634,0.0349229305233702,0.991312533955065
ebi-a-GCST90001557,Terminally Differentiated CD8+ T cell Absolute Count,17,IVW,-0.0600920711415268,0.0286445855572887,0.941677828240183,0.890265577722276,0.996059102349994,0.0359183137350517,0.991312533955065
ebi-a-GCST90001769,CD24 on IgD- CD38- B cell,29,IVW,0.0311208739654399,0.0148544732020672,1.03161019116524,1.00200812006727,1.06208678872237,0.0361664888430593,0.991312533955065
ebi-a-GCST90001732,CD19 on IgD- CD27- B cell,26,IVW,-0.0554162849735697,0.0270725154521975,0.946091222407016,0.89719826039926,0.997648614161691,0.0406622705791154,0.991312533955065
ebi-a-GCST90001913,CD45 on granulocyte,15,IVW,-0.0479514280632561,0.0235084689559842,0.95318008375587,0.910257249905793,0.998126927484375,0.0413751112731008,0.991312533955065
ebi-a-GCST90002046,CD45 on CD33- HLA DR+,25,IVW,0.016847599470308,0.00834176737262143,1.01699032065081,1.0004978593108,1.0337546479209,0.0434178508791078,0.991312533955065
ebi-a-GCST90001507,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,26,IVW,-0.0333318908596145,0.0165179561625438,0.967217495666818,0.936405111285162,0.999043760707433,0.0435997402995729,0.991312533955065
ebi-a-GCST90001936,CD25 on CD4 regulatory T cell,22,IVW,-0.0280647018729427,0.0139435774019913,0.972325453488014,0.946112198799597,0.99926498009453,0.0441426993514664,0.991312533955065
ebi-a-GCST90001447,IgD+ CD38+ B cell %B cell,25,IVW,0.0383966942167245,0.0191372663048589,1.03914337329277,1.00088804633906,1.0788608718107,0.0448153536698995,0.991312533955065
ebi-a-GCST90001509,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,27,IVW,-0.0214623882429394,0.0107244740854042,0.978766289896768,0.958407374121492,0.999557678817323,0.0453651087992921,0.991312533955065
ebi-a-GCST90002073,SSC-A on monocyte,23,IVW,-0.038512206673597,0.0193150563297568,0.96221995916316,0.926473610113652,0.999345517999565,0.0461634601325549,0.991312533955065
ebi-a-GCST90001582,CD14+ CD16- monocyte Absolute Count,28,IVW,-0.0279269110829696,0.0140927759074993,0.972459440211217,0.945965904947316,0.999694976224943,0.0475187312631824,0.991312533955065
ebi-a-GCST90001997,CX3CR1 on CD14+ CD16- monocyte,27,IVW,0.0467098908554108,0.0239502384029186,1.04781798340262,0.999767450629488,1.09817790692291,0.0511416613679256,0.991312533955065
ebi-a-GCST90001501,Activated & secreting CD4 regulatory T cell Absolute Count,22,IVW,0.0151565445082558,0.00777524343799059,1.01527198743017,0.99991707080861,1.0308626970703,0.0512555796670667,0.991312533955065
ebi-a-GCST90001603,T cell Absolute Count,19,IVW,-0.0538468941237395,0.0276681792812945,0.9475771750298,0.897558907644527,1.00038281052085,0.051634697047992,0.991312533955065
ebi-a-GCST90001909,CD45 on CD14+ monocyte,17,IVW,-0.0417478458628983,0.0219220871033578,0.95911159404045,0.918773972217944,1.00122018868489,0.056861533503024,0.991312533955065
ebi-a-GCST90002098,CD45RA on naive CD4+ T cell,33,IVW,-0.0291618076080159,0.0154016347342132,0.971259294608085,0.94237781088566,1.00102592236974,0.0583016549902738,0.991312533955065
ebi-a-GCST90001498,Activated & resting CD4 regulatory T cell Absolute Count,19,IVW,-0.0605599703426823,0.0323142796865241,0.941237321001133,0.883471753802788,1.00277987454837,0.0609175867318245,0.991312533955065
ebi-a-GCST90001736,CD19 on memory B cell,24,IVW,-0.0433737061535389,0.0232818191228886,0.957553479566861,0.914840018983459,1.00226121201983,0.0624642173844346,0.991312533955065
ebi-a-GCST90001956,CD33 on CD33+ HLA DR+,23,IVW,-0.0229241797767955,0.0123227014123378,0.977336582841995,0.954014246177753,1.00122906967921,0.0628401292026779,0.991312533955065
ebi-a-GCST90002030,CD39 on CD39+ activated CD4 regulatory T cell,22,IVW,-0.0382489727743425,0.0208162256679451,0.962473281414991,0.923994855419733,1.00255408566851,0.0661420817750266,0.991312533955065
ebi-a-GCST90001907,CCR7 on naive CD4+ T cell,24,IVW,0.0271525999150559,0.0147892078365328,1.02752459096555,0.998167433759224,1.05774517313455,0.0663615136007732,0.991312533955065
ebi-a-GCST90002041,CD45 on lymphocyte,17,IVW,0.0494986675715426,0.0272254158452518,1.05074419217243,0.996144304869491,1.10833676605593,0.0690480696894748,0.991312533955065
ebi-a-GCST90001525,CD33dim HLA DR+ CD11b+ Absolute Count,26,IVW,-0.0431889189253926,0.0239396779995963,0.957730439569623,0.913830029833214,1.00373982571533,0.0712199147235694,0.991312533955065
ebi-a-GCST90001995,CX3CR1 on monocyte,26,IVW,0.0487327629517062,0.0271804343951669,1.04993973045118,0.995469405783626,1.10739057491386,0.0729832544849372,0.991312533955065
ebi-a-GCST90001492,Secreting CD4 regulatory T cell Absolute Count,23,IVW,0.0177167458383576,0.00988765075709319,1.01787461833074,0.998338332455243,1.03779320593041,0.073164146467576,0.991312533955065
ebi-a-GCST90001462,CD62L- Dendritic Cell Absolute Count,18,IVW,0.0218431162036697,0.0123212797332855,1.0220834235641,0.997696066065786,1.04706689768147,0.0762625060162014,0.991312533955065
ebi-a-GCST90002108,HLA DR on CD33+ HLA DR+ CD14-,25,IVW,0.0177790114265113,0.0100362467491848,1.01793799886571,0.998109756562724,1.03816014493553,0.076480898492551,0.991312533955065
ebi-a-GCST90001440,IgD- CD24- B cell %lymphocyte,24,IVW,-0.0492363825330809,0.0278870375842458,0.951956077311389,0.901319952498647,1.00543693792405,0.0774688260379899,0.991312533955065
ebi-a-GCST90001417,CD24+ CD27+ B cell %B cell,26,IVW,-0.0337109269537263,0.0191306424569913,0.966850954795602,0.931269112350633,1.00379230492206,0.0780451462403745,0.991312533955065
ebi-a-GCST90001792,CD25 on unswitched memory B cell,24,IVW,0.0203738922855129,0.0116387340314201,1.0205828567561,0.997564943156543,1.04413188800379,0.0800278027332107,0.991312533955065
ebi-a-GCST90001990,CD64 on CD14- CD16+ monocyte,20,IVW,0.0526541131891875,0.030727118531172,1.05406499487967,0.992457548992094,1.1194967629185,0.0866014786418908,0.991312533955065
ebi-a-GCST90001963,FSC-A on myeloid Dendritic Cell,20,IVW,-0.0211700991119958,0.0124072960825762,0.979052414458551,0.95553068720461,1.00315316199977,0.0879592905203854,0.991312533955065
ebi-a-GCST90001403,Switched memory B cell Absolute Count,23,IVW,0.0410772296567715,0.0240776371416609,1.0419325705331,0.993903719048861,1.09228234156989,0.0880020428672838,0.991312533955065
ebi-a-GCST90001585,CD14+ CD16+ monocyte %monocyte,25,IVW,-0.0444530200365038,0.0264888770562647,0.956520536337942,0.908126839491515,1.00749311290978,0.0933125812934993,0.991312533955065
ebi-a-GCST90001901,CD28 on CD39+ resting CD4 regulatory T cell,22,IVW,0.0203966802743878,0.0122253278057095,1.02060611405188,0.996441384708597,1.04535686295757,0.0952372673250395,0.991312533955065
ebi-a-GCST90001832,CD62L on CD62L+ plasmacytoid Dendritic Cell,15,IVW,0.0582914128018655,0.0350039360904944,1.06002385522699,0.989736728591003,1.13530249124929,0.0958565757241257,0.991312533955065
ebi-a-GCST90001556,Effector Memory CD8+ T cell %T cell,15,IVW,0.0311077804770296,0.0189378439966736,1.03159668387759,0.994007632527001,1.07060718988828,0.100460495966721,0.991312533955065
ebi-a-GCST90001902,CD28 on activated CD4 regulatory T cell,18,IVW,-0.0405230937751044,0.0247631950711586,0.960286987603612,0.914791639423887,1.00804495670901,0.101750820154228,0.991312533955065
ebi-a-GCST90001676,CD28- CD25++ CD8+ T cell %T cell,8,IVW,0.0845383762296768,0.051748863168465,1.08821460500431,0.983252430685206,1.20438148901339,0.102337048219079,0.991312533955065
ebi-a-GCST90001473,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,18,IVW,0.0331207969404971,0.0202821836423896,1.03367539652533,0.993389662048244,1.07559487097814,0.102469089450741,0.991312533955065
ebi-a-GCST90001947,CD33 on CD33+ HLA DR+ CD14dim,27,IVW,-0.0180741122659286,0.0111585706445641,0.982088244875942,0.960842369799789,1.00380390274055,0.105285654481334,0.991312533955065
ebi-a-GCST90001714,BAFF-R on IgD- CD38dim B cell,4,IVW,0.0620554368642718,0.0384867779648441,1.06402132909907,0.986710448391523,1.1473896831875,0.106878563388158,0.991312533955065
ebi-a-GCST90001754,CD20 on IgD- CD27- B cell,19,IVW,-0.045351283814412,0.028260886875092,0.955661714369404,0.904165715223379,1.01009062490921,0.108551750217757,0.991312533955065
ebi-a-GCST90001800,CD27 on IgD+ CD24+ B cell,31,IVW,-0.0256774677944244,0.016014428685326,0.974649394738209,0.944531966220568,1.00572715020396,0.108847296333925,0.991312533955065
ebi-a-GCST90001560,CD45RA+ CD8+ T cell Absolute Count,28,IVW,-0.00783715511486179,0.00494392500581543,0.992193475314577,0.982625460597673,1.00185465564676,0.112918824174891,0.991312533955065
ebi-a-GCST90001819,CD38 on transitional B cell,24,IVW,-0.0304770776530869,0.0192625413491165,0.969982666091553,0.934044069079874,1.00730404877462,0.113605286057412,0.991312533955065
ebi-a-GCST90001683,CD127- CD8+ T cell %CD8+ T cell,14,IVW,-0.0361951461516597,0.0229970390433167,0.964452066008645,0.921945338774935,1.00891858606752,0.115509500129201,0.991312533955065
ebi-a-GCST90002091,CD11b on CD14+ monocyte,20,IVW,-0.0236040443378582,0.0151662991126532,0.976672352154128,0.948067107624894,1.00614067906223,0.119625284107372,0.991312533955065
ebi-a-GCST90001512,CD25++ CD45RA- CD4 not regulatory T cell %T cell,30,IVW,-0.019533456275515,0.0125668704857057,0.980656085539642,0.956796530035487,1.00511062479529,0.120098275493152,0.991312533955065
ebi-a-GCST90001752,CD20 on IgD+ CD38dim B cell,28,IVW,0.0306798596209589,0.019773317416443,1.0311553365791,0.991956679494467,1.07190298743432,0.120763044932678,0.991312533955065
ebi-a-GCST90001654,CD28- CD4-CD8- T cell Absolute Count,31,IVW,0.0342298888788187,0.0223501853905092,1.03482247356382,0.990469233920386,1.08116185250316,0.125639458372665,0.991312533955065
ebi-a-GCST90002056,CD8 on Effector Memory CD8+ T cell,24,IVW,0.0399966617910035,0.0261391719813056,1.0408072997543,0.988826774086587,1.09552033137704,0.125981424140274,0.991312533955065
ebi-a-GCST90001600,Leukocyte Absolute Count,11,IVW,-0.0275293179988199,0.0183388598930401,0.97284616023277,0.93849900478359,1.00845035173786,0.133317636521623,0.991312533955065
ebi-a-GCST90001653,CD28- CD4-CD8- T cell %CD4-CD8- T cell,27,IVW,0.0336887791685966,0.0224916328300831,1.03426267254557,0.989659018263358,1.08087660101172,0.134175844021182,0.991312533955065
ebi-a-GCST90001656,CD28+ CD4-CD8- T cell %CD4-CD8- T cell,27,IVW,-0.0336887791685966,0.0224916328300831,0.966872368639935,0.925174991357923,1.01044903501692,0.134175844021182,0.991312533955065
ebi-a-GCST90001416,IgD+ CD24- B cell Absolute Count,23,IVW,0.0158563667938856,0.0105895424184374,1.0159827460663,0.995112844848397,1.03729033912901,0.134299375729767,0.991312533955065
ebi-a-GCST90001395,IgD+ CD38- B cell %B cell,22,IVW,0.0245459052087709,0.0164182473118651,1.02484963596389,0.992395204379514,1.05836542911552,0.134904499928388,0.991312533955065
