id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001554,Effector Memory CD8+ T cell Absolute Count,2,IVW,36.9148675913837,32.0459078934073,0.146153919469504,0.0395900187596588,1.15737431678256,1.07096218498025,1.25075873633447,0.000222772359071822,0.135222821956596
ebi-a-GCST90001906,CD86 on granulocyte,2,IVW,37.1531573683957,36.1041214206957,-0.472647775763406,0.136165686445245,0.62334959134917,0.477337008305104,0.814025952889903,0.000518287532024978,0.157300265969581
ebi-a-GCST90002011,CD64 on CD14+ CD16+ monocyte,2,IVW,33.1219501228835,32.4197795335344,0.384204998193161,0.118457148920978,1.4684464396958,1.16419398162841,1.85221275859811,0.00118108479101795,0.182962368597974
ebi-a-GCST90001556,Effector Memory CD8+ T cell %T cell,2,IVW,46.0101291680762,45.7343749778272,0.126877733286374,0.0399221391463251,1.13527820256054,1.04983219861932,1.22767866989041,0.00148228462788889,0.182962368597974
ebi-a-GCST90001537,Central Memory CD4+ T cell Absolute Count,1,Wald,35.3816065955768,35.3816065955768,0.344561839651958,0.112428837787446,1.41137137719331,1.13224378864569,1.75931118751661,0.00217880787864713,0.182962368597974
ebi-a-GCST90001590,CD4+ T cell Absolute Count,1,Wald,47.1757481103135,47.1757481103135,0.301632208922742,0.0984211099020675,1.35206385822831,1.11485776696453,1.6397398223314,0.00217880787864713,0.182962368597974
ebi-a-GCST90002103,CD45RA on CD39+ resting CD4 regulatory T cell,1,Wald,42.4025438592187,42.4025438592187,-0.119260897030954,0.0394742261528743,0.887576204555369,0.821494217657838,0.958973906278958,0.002517462436354,0.182962368597974
ebi-a-GCST90001832,CD62L on CD62L+ plasmacytoid Dendritic Cell,3,IVW,68.3165579177282,38.1984094271807,0.144749957168881,0.0482569172877013,1.15575054699659,1.05144604168977,1.27040216418165,0.00270361804484368,0.182962368597974
ebi-a-GCST90001689,CD28+ CD45RA+ CD8+ T cell %CD8+ T cell,1,Wald,33.2337929241503,33.2337929241503,-0.195823228780439,0.0653062431105321,0.822157555627307,0.723377932431514,0.934425859526844,0.00271278635482993,0.182962368597974
ebi-a-GCST90001480,Resting CD4 regulatory T cell Absolute Count,4,IVW,56.0093083436528,30.8436931650252,-0.100461086703311,0.0339194357105224,0.90442030570371,0.84624769317618,0.966591809898025,0.00305890248234908,0.185675380678589
ebi-a-GCST90001500,Activated & resting CD4 regulatory T cell %CD4+ T cell,3,IVW,61.852562634926,47.9952538303507,-0.0938943630244463,0.0326198096816741,0.910378926837848,0.853995640505983,0.970484802404123,0.00399639603279314,0.220528399264131
ebi-a-GCST90001534,CD45RA- CD4+ T cell Absolute Count,2,IVW,40.5158154627596,32.6588244616889,0.167528787496091,0.061114547025848,1.18237932743526,1.04890239080246,1.33284172693773,0.00612103826224462,0.309622518765207
ebi-a-GCST90001691,CD28+ CD45RA- CD8+ T cell %T cell,3,IVW,51.2823083187745,29.878503719732,0.0796250309334933,0.0295938729094167,1.08288094468097,1.02185646839088,1.14754975539735,0.00713254145242604,0.323025590291125
ebi-a-GCST90001581,CD14- CD16- Absolute Count,3,IVW,61.2342077303104,33.8884884810017,0.214585933525422,0.0809596790641837,1.23934861799456,1.05749717713582,1.45247195939111,0.00803659559364028,0.323025590291125
