Outcome,Immunophenotype,GWAS Catalog accession,Instruments,Method,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
I9_LBBB,CD45 on HLA DR+ Natural Killer,GCST90001912,12,IVW,1.00840914120888,0.908106764939241,1.1197901340837,0.875511629948173,0.984642438626707
I9_LBBB,CD28+ CD45RA- CD8+ T cell %CD8+ T cell,GCST90001692,28,IVW,1.0027789726939,0.990641295720109,1.01506536464956,0.655129128511713,0.984642438626707
I9_LBBB,IgD+ CD24+ B cell %B cell,GCST90001411,20,IVW,0.940536081928179,0.839066669540056,1.0542763209671,0.292549789952368,0.984642438626707
I9_LBBB,CD20 on IgD+ CD38- B cell,GCST90001748,25,IVW,1.07974119054388,1.01164922228996,1.15241628508163,0.0209718545946892,0.694938946636203
I9_LBBB,CD20 on memory B cell,GCST90001758,28,IVW,1.10799632571206,1.03721864127155,1.18360373497186,0.00232652594040644,0.425172615609278
I9_LBBB,Lymphocyte %leukocyte,GCST90001602,22,IVW,0.995059481575293,0.936448573574751,1.05733875816925,0.872956979427041,0.984642438626707
I9_LBBB,CD45 on B cell,GCST90001910,15,IVW,1.02856216636312,0.982353646445058,1.07694426941058,0.229815606694093,0.982405835569941
I9_LBBB,CD25 on secreting CD4 regulatory T cell,GCST90001941,14,IVW,0.969590009971217,0.929462316335199,1.01145013726081,0.152128633408698,0.982405835569941
I9_LBBB,HLA DR on CD33+ HLA DR+ CD14dim,GCST90002109,20,IVW,0.965239738234596,0.902852043005012,1.03193846598187,0.299371042107471,0.984642438626707
I9_LBBB,IgD- CD27- B cell %lymphocyte,GCST90001433,18,IVW,0.943537345531005,0.844969820833135,1.05360298138684,0.301867781391012,0.984642438626707
I9_LBBB,CD45 on CD33dim HLA DR-,GCST90002050,18,IVW,0.979845262806877,0.910414364448755,1.05457116730183,0.587138079790682,0.984642438626707
I9_LBBB,CD45 on CD14+ monocyte,GCST90001909,17,IVW,0.982081550041488,0.915423100934408,1.05359387363876,0.614126650900027,0.984642438626707
I9_LBBB,CD28+ CD45RA- CD8dim T cell Absolute Count,GCST90001669,37,IVW,1.00248283924386,0.989826326650432,1.01530118559207,0.702063429799467,0.984642438626707
I9_LBBB,CD28+ CD4-CD8- T cell Absolute Count,GCST90001657,12,IVW,0.961889008640215,0.827203428432166,1.11850414679311,0.613653261486655,0.984642438626707
I9_LBBB,CD19 on CD20- B cell,GCST90001721,22,IVW,0.947619544849483,0.874417441488659,1.02694978299148,0.1896303080382,0.982405835569941
I9_LBBB,CD25 on IgD- CD24- B cell,GCST90001785,26,IVW,1.00327083742594,0.919041085448818,1.09522021285675,0.941815071158377,0.987549834209795
I9_LBBB,CD62L on CD62L+ plasmacytoid Dendritic Cell,GCST90001832,15,IVW,0.976190732676879,0.884840010644186,1.07697248666508,0.630719870714764,0.984642438626707
I9_LBBB,CD39+ CD8+ T cell %T cell,GCST90001670,20,IVW,0.954518435771048,0.877688539970398,1.03807376163022,0.27693714904898,0.984642438626707
I9_LBBB,CD39+ CD8+ T cell %CD8+ T cell,GCST90001671,21,IVW,0.963184952964422,0.898312024912076,1.03274277521542,0.291712425088617,0.984642438626707
I9_LBBB,CD39+ CD8+ T cell Absolute Count,GCST90001672,24,IVW,0.951319729017377,0.895736131426139,1.01035248558835,0.104226663293882,0.963734033871956
I9_LBBB,HVEM on CD4+ T cell,GCST90001875,20,IVW,0.929549815368742,0.88016788599548,0.98170232406832,0.00871407796043612,0.636999098907881
I9_LBBB,HVEM on CD45RA- CD4+ T cell,GCST90001880,19,IVW,1.01674989235209,0.972604129608412,1.06289939773771,0.463276526504917,0.984642438626707
I9_LBBB,Effector Memory CD8+ T cell %T cell,GCST90001556,15,IVW,1.04571920597536,0.99038042962516,1.10415010740833,0.10706008572118,0.963734033871956
I9_LBBB,CD3 on Natural Killer T,GCST90001848,17,IVW,0.99807827499273,0.921042371227146,1.08155745504437,0.962563844435787,0.98808972167928
I9_LBBB,CD45 on CD66b++ myelod cell,GCST90002048,16,IVW,0.993759970925622,0.924190758998333,1.06856606192908,0.865761648005577,0.984642438626707
I9_LBBB,Granulocyte Absolute Count,GCST90001651,24,IVW,1.05444494368742,0.937428230777822,1.18606854665067,0.377045627324424,0.984642438626707
I9_LBBB,Transitional B cell Absolute Count,GCST90001577,31,IVW,0.990270678066238,0.914864836162299,1.07189169052706,0.8088196530013,0.984642438626707
I9_LBBB,Granulocyte %leukocyte,GCST90001652,25,IVW,1.00890145818495,0.942087607508254,1.08045381789911,0.799880986651867,0.984642438626707
I9_LBBB,HLA DR on HLA DR+ Natural Killer,GCST90002117,28,IVW,1.00283963292581,0.992924767876092,1.01285350300806,0.575916165691778,0.984642438626707
I9_LBBB,Natural Killer %CD3- lymphocyte,GCST90001646,27,IVW,1.00062062194995,0.96102996332349,1.04184226016112,0.975969499666111,0.990880144799898
I9_LBBB,CD80 on myeloid Dendritic Cell,GCST90002035,26,IVW,1.00257908937502,0.942153062611655,1.06688060607235,0.935272054409016,0.987549834209795
I9_LBBB,CD45 on Immature Myeloid-Derived Suppressor Cells,GCST90002052,10,IVW,1.0148998912244,0.956773371528556,1.07655775114405,0.623068969581584,0.984642438626707
I9_LBBB,CD3 on HLA DR+ CD8+ T cell,GCST90001850,26,IVW,1.00803399600965,0.942831733253148,1.07774537202424,0.814563711255568,0.984642438626707
I9_LBBB,Resting CD4 regulatory T cell Absolute Count,GCST90001480,25,IVW,0.957452151520059,0.872806911419612,1.05030632830274,0.357214941673101,0.984642438626707
I9_LBBB,CD127 on CD28+ CD4+ T cell,GCST90001924,20,IVW,0.999220978428411,0.939431880492594,1.06281528705189,0.980249377899757,0.991409379544456
I9_LBBB,CD20 on IgD+ CD38- naive B cell,GCST90001749,18,IVW,0.955000020060482,0.873895190545295,1.04363206043786,0.309226330125904,0.984642438626707
I9_LBBB,CD25 on IgD+ CD38dim B cell,GCST90001784,23,IVW,1.03601127495749,0.987954526646527,1.08640563192952,0.144314112874577,0.982284245304452
I9_LBBB,CD25 on IgD+ B cell,GCST90001794,27,IVW,1.00307099864093,0.962742642242759,1.04508867081096,0.883560514635242,0.984642438626707
I9_LBBB,CD8dim T cell %T cell,GCST90001597,19,IVW,1.06899480344312,0.97716851495578,1.16945017394477,0.145398000132652,0.982284245304452
I9_LBBB,CD8dim T cell %leukocyte,GCST90001612,18,IVW,1.09406679608185,1.01471448619467,1.17962458462347,0.019271150796327,0.694938946636203
