threshold,exposure_iv_records,traits_with_CONDUCTIO_results,CONDUCTIO_nominal,CONDUCTIO_FDR,CONDUCTIO_min_FDR,traits_with_AVBLOCK_results,AVBLOCK_nominal,AVBLOCK_FDR,AVBLOCK_min_FDR
P < 1e-5,18728,731,33,0,0.323281567116254,731,33,0,0.110993817705003
P < 5e-8,2803,607,58,5,0.0185742967956829,607,47,0,0.135222821956596
