id,trait,nIV,method,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001649,HLA DR+ Natural Killer %Natural Killer,23,IVW,-0.0579777571511965,0.0165014285939409,0.943670937133337,0.913638265005119,0.974690828634592,0.000442245645849868,0.323281567116254
ebi-a-GCST90001913,CD45 on granulocyte,15,IVW,-0.0573772143112029,0.0173053748525004,0.944237822160277,0.912747726729849,0.976814336193763,0.000914558164027829,0.334271008952171
ebi-a-GCST90001483,CD39+ resting CD4 regulatory T cell Absolute Count,28,IVW,-0.0337661962479053,0.0110110856997679,0.966797519102444,0.946155900127129,0.987889461786426,0.00216534629155287,0.460262298965819
ebi-a-GCST90002046,CD45 on CD33- HLA DR+,25,IVW,0.0185423873874082,0.00613761645484921,1.01871536493726,1.00653391261425,1.03104424178203,0.00251853515165975,0.460262298965819
ebi-a-GCST90002091,CD11b on CD14+ monocyte,20,IVW,-0.0310438240588674,0.0107394830406285,0.96943308765239,0.949240383246064,0.990055341115453,0.00384475924273691,0.562103801288136
ebi-a-GCST90001557,Terminally Differentiated CD8+ T cell Absolute Count,17,IVW,-0.0562420929374032,0.0213810930286348,0.94531025524987,0.906513791155078,0.985767108453955,0.0085269603240802,0.744029720495043
ebi-a-GCST90001903,CD86 on myeloid Dendritic Cell,22,IVW,0.0517580379896088,0.0196989552336117,1.05312089643379,1.01323490188241,1.09457700326456,0.00860272517578066,0.744029720495043
ebi-a-GCST90001752,CD20 on IgD+ CD38dim B cell,28,IVW,0.0386644101830081,0.0147870562614806,1.03942160580704,1.00972879996505,1.0699875794925,0.00892935852920936,0.744029720495043
ebi-a-GCST90002005,CD16 on CD14+ CD16+ monocyte,22,IVW,-0.0407153304941252,0.0156969356222576,0.960102402926342,0.9310136647516,0.990099994236794,0.00949108024403612,0.744029720495043
ebi-a-GCST90002103,CD45RA on CD39+ resting CD4 regulatory T cell,8,IVW,-0.0585147761104851,0.0227709277884286,0.943164303996743,0.901995457849461,0.986212177225978,0.010178245150411,0.744029720495043
ebi-a-GCST90001509,CD25++ CD45RA+ CD4 not regulatory T cell %T cell,27,IVW,-0.0197688993614606,0.00805222036484322,0.980425224023051,0.96507327172536,0.996021388285011,0.0140850601652036,0.862594456093442
ebi-a-GCST90001696,CD45RA- CD28- CD8+ T cell %CD8+ T cell,50,IVW,-0.000678341688718176,0.00027701131366982,0.999321888332991,0.998779461600122,0.999864609652175,0.0143338206239804,0.862594456093442
ebi-a-GCST90001585,CD14+ CD16+ monocyte %monocyte,25,IVW,-0.0423366520122493,0.017966420688695,0.958547029461823,0.925379980064046,0.992902837196126,0.0184514361988977,0.862594456093442
ebi-a-GCST90001508,CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell,32,IVW,-0.0187083261497099,0.00805326723627629,0.981465588345522,0.966095363239162,0.997080348131179,0.0201752413515718,0.862594456093442
ebi-a-GCST90001396,IgD+ CD38- B cell Absolute Count,17,IVW,0.0561827337633582,0.0246560524518609,1.05779096020001,1.00788781716202,1.11016493743469,0.0226873487317136,0.862594456093442
