outcome,id,trait,nIV_main,p_main,FDR_main,nIV_gws,p_gws,FDR_gws
Cardiac conduction disorders,ebi-a-GCST90002013,CCR2 on myeloid Dendritic Cell,14,0.0501790615454126,0.924454769589637,3,0.860262516181852,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001525,CD33dim HLA DR+ CD11b+ Absolute Count,26,0.0518162799720156,0.924454769589637,1,0.0164765358317811,0.355532605188649
Cardiac conduction disorders,ebi-a-GCST90001819,CD38 on transitional B cell,24,0.051907157567619,0.924454769589637,5,0.944625565866274,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001401,IgD- CD27- B cell Absolute Count,25,0.0523984268686829,0.924454769589637,2,0.186935084567491,0.648397693328382
Cardiac conduction disorders,ebi-a-GCST90001843,CD3 on Effector Memory CD4+ T cell,19,0.0525110457160149,0.924454769589637,2,0.774736086771372,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001997,CX3CR1 on CD14+ CD16- monocyte,27,0.0530564019435567,0.924454769589637,3,0.146877038449072,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90001873,HVEM on Effector Memory CD8+ T cell,18,0.0531229056245773,0.924454769589637,1,0.148805065228843,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90002080,SSC-A on T cell,22,0.054485616258427,0.924454769589637,1,0.322424818868981,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90002089,CD11c on monocyte,19,0.054656068601749,0.924454769589637,2,0.111746473864989,0.563464970064092
Cardiac conduction disorders,ebi-a-GCST90001492,Secreting CD4 regulatory T cell Absolute Count,23,0.0565963525219581,0.924454769589637,4,0.99199360640013,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001907,CCR7 on naive CD4+ T cell,24,0.0610354037477485,0.924454769589637,4,0.291648423344281,0.798084030031285
Cardiac conduction disorders,ebi-a-GCST90001792,CD25 on unswitched memory B cell,24,0.0616986571618912,0.924454769589637,4,0.850956776058865,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001742,CD19 on transitional B cell,26,0.0618712127925464,0.924454769589637,4,0.316358629048924,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90001408,Naive-mature B cell %B cell,29,0.0624668037937677,0.924454769589637,1,0.136262633446155,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90001909,CD45 on CD14+ monocyte,17,0.0642508305518952,0.924454769589637,1,0.88166884781582,0.988041030180951
Cardiac conduction disorders,ebi-a-GCST90001544,Effector Memory CD4+ T cell %T cell,20,0.0657301457528456,0.924454769589637,4,0.279057919760254,0.795938486332295
Cardiac conduction disorders,ebi-a-GCST90002027,CD4 on CD45RA+ CD4+ T cell,27,0.0730995097840211,0.924454769589637,2,0.132552222658911,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90002099,CD4RA on Terminally Differentiated CD4+ T cell,33,0.0733623076028154,0.924454769589637,3,0.65046736100893,0.976142016461755
Cardiac conduction disorders,ebi-a-GCST90001404,Plasma Blast-Plasma Cell %B cell,27,0.0741814440114897,0.924454769589637,1,0.491543455681307,0.881834207375777
Cardiac conduction disorders,ebi-a-GCST90001507,CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count,26,0.0784269727388651,0.924454769589637,3,0.266345759132923,0.777268633623483
Cardiac conduction disorders,ebi-a-GCST90001967,FSC-A on CD14+ monocyte,23,0.0812262131476814,0.924454769589637,1,0.972988596394334,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001460,Plasmacytoid Dendritic Cell Absolute Count,30,0.0813187879709317,0.924454769589637,2,0.194433226170771,0.665801416489808
Cardiac conduction disorders,ebi-a-GCST90001571,Effector Memory CD4-CD8- T cell %T cell,23,0.082475118442714,0.924454769589637,3,0.897803917593216,0.994465288282996
Cardiac conduction disorders,ebi-a-GCST90001669,CD28+ CD45RA- CD8dim T cell Absolute Count,37,0.0836508060416297,0.924454769589637,3,0.875488672263281,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001582,CD14+ CD16- monocyte Absolute Count,28,0.0836593907116616,0.924454769589637,3,0.831500029561173,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90002056,CD8 on Effector Memory CD8+ T cell,24,0.086832167919794,0.924454769589637,3,0.748669017863094,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90002042,CD45 on CD33+ HLA DR+ CD14-,18,0.0893067031149706,0.924454769589637,1,0.166758221247221,0.627730707648236
Cardiac conduction disorders,ebi-a-GCST90001633,CD8dim Natural Killer T Absolute Count,27,0.0894701574654103,0.924454769589637,5,0.993147495865266,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001473,CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell,18,0.096541741088491,0.924454769589637,3,0.0623490514813472,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001779,CD25 on IgD+ CD24- B cell,24,0.0966289761322909,0.924454769589637,5,0.496631750840845,0.885110273006329
Cardiac conduction disorders,ebi-a-GCST90001984,HLA DR on CD14- CD16+ monocyte,19,0.0970588921767644,0.924454769589637,8,0.124049494601589,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90001986,CD14 on CD14+ CD16- monocyte,16,0.0985112211101014,0.924454769589637,1,0.062848224014599,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001639,CD3- lymphocyte Absolute Count,18,0.0987615262271991,0.924454769589637,1,0.236440029645835,0.710490584133771
Cardiac conduction disorders,ebi-a-GCST90001956,CD33 on CD33+ HLA DR+,23,0.0991848810275365,0.924454769589637,5,0.0858445986916884,0.510859523586813
Cardiac conduction disorders,ebi-a-GCST90001995,CX3CR1 on monocyte,26,0.10038643288203,0.924454769589637,3,0.132666370421872,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90001560,CD45RA+ CD8+ T cell Absolute Count,28,0.100831305846626,0.924454769589637,3,0.913584858516082,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90002078,SSC-A on granulocyte,25,0.101384452929219,0.924454769589637,3,0.492040731833951,0.881834207375777
Cardiac conduction disorders,ebi-a-GCST90001747,CD20 on IgD+ CD24- B cell,25,0.101556435582019,0.924454769589637,4,0.411302841969121,0.834134257317917
Cardiac conduction disorders,ebi-a-GCST90001759,CD20 on naive-mature B cell,23,0.104153303856529,0.924454769589637,6,0.144322172511029,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90002069,CD4 on CD39+ secreting CD4 regulatory T cell,23,0.104713440194567,0.924454769589637,3,0.0706401276187024,0.504895389615419
Cardiac conduction disorders,ebi-a-GCST90001740,CD19 on switched memory B cell,27,0.106230096642311,0.924454769589637,2,0.530842352618607,0.898256411460129
Cardiac conduction disorders,ebi-a-GCST90001863,CD3 on CD28+ CD45RA- CD8+ T cell,18,0.112380052092206,0.966468447992974,5,0.639076999604686,0.975068848195545
Cardiac conduction disorders,ebi-a-GCST90001480,Resting CD4 regulatory T cell Absolute Count,25,0.119657133942437,0.967533682599991,4,0.0002868928333329,0.0406110329872981
Cardiac conduction disorders,ebi-a-GCST90001965,FSC-A on monocyte,19,0.120080632964431,0.967533682599991,2,0.2929118099272,0.798084030031285
Cardiac conduction disorders,ebi-a-GCST90001520,CD33+ HLA DR+ CD14dim Absolute Count,28,0.122802960939001,0.967533682599991,2,0.402937747852872,0.830868533670716
Cardiac conduction disorders,ebi-a-GCST90001415,IgD+ CD24- B cell %B cell,18,0.122887184563299,0.967533682599991,1,0.172661981999882,0.63539409500401
Cardiac conduction disorders,ebi-a-GCST90001858,CD3 on CD45RA+ CD4+ T cell,32,0.123970374130699,0.967533682599991,5,0.666808607677623,0.976142016461755
Cardiac conduction disorders,ebi-a-GCST90001865,CD3 on CD28- CD8+ T cell,20,0.126650110548733,0.967533682599991,2,0.078381109828951,0.504895389615419
Cardiac conduction disorders,ebi-a-GCST90001901,CD28 on CD39+ resting CD4 regulatory T cell,22,0.133248505563005,0.967533682599991,2,0.928275666384404,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001761,CD20 on switched memory B cell,31,0.133695666065691,0.967533682599991,7,0.0542352220169423,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90002098,CD45RA on naive CD4+ T cell,33,0.133839834066124,0.967533682599991,10,0.13028026634166,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90001583,Monocyte Absolute Count,27,0.134691187606515,0.967533682599991,1,0.699592276991601,0.977221476698678
Cardiac conduction disorders,ebi-a-GCST90001877,HVEM on naive CD4+ T cell,18,0.134860321720715,0.967533682599991,1,0.127309682917636,0.587799174058951
Cardiac conduction disorders,ebi-a-GCST90001833,CD62L on CD62L+ Dendritic Cell,26,0.134892007475467,0.967533682599991,2,0.0382524107070803,0.463770960466332
Cardiac conduction disorders,ebi-a-GCST90001526,CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+,24,0.135840943209197,0.967533682599991,3,0.0324170694478259,0.440756548380196
Cardiac conduction disorders,ebi-a-GCST90001980,CD40 on CD14+ CD16- monocyte,23,0.137271347436635,0.967533682599991,4,0.790542913713897,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001577,Transitional B cell Absolute Count,31,0.142862093753512,0.967533682599991,1,0.162952823991296,0.622090340646016
Cardiac conduction disorders,ebi-a-GCST90002064,CD4 on resting CD4 regulatory T cell,13,0.143526323306926,0.967533682599991,1,0.365464742192028,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90001655,CD28+ CD4-CD8- T cell %T cell,23,0.149879309377608,0.967533682599991,1,0.533523187207358,0.898256411460129
Cardiac conduction disorders,ebi-a-GCST90001431,IgD+ CD38- B cell %lymphocyte,20,0.151249820001711,0.967533682599991,2,0.592703394796306,0.934470027639891
Cardiac conduction disorders,ebi-a-GCST90001781,CD25 on IgD+ CD38- naive B cell,25,0.155374892275543,0.967533682599991,3,0.508218412090686,0.893740393213083
Cardiac conduction disorders,ebi-a-GCST90001556,Effector Memory CD8+ T cell %T cell,15,0.155609288667585,0.967533682599991,2,0.0003345225122512,0.0406110329872981
Cardiac conduction disorders,ebi-a-GCST90001603,T cell Absolute Count,19,0.156047489359579,0.967533682599991,2,0.432354680851548,0.85326328502904
Cardiac conduction disorders,ebi-a-GCST90001663,CD28- CD8dim T cell Absolute Count,28,0.161820353760223,0.967533682599991,2,0.29394422368624,0.798084030031285
Cardiac conduction disorders,ebi-a-GCST90001409,Naive-mature B cell Absolute Count,23,0.162806532593383,0.967533682599991,1,0.865508153638598,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001545,Terminally Differentiated CD4+ T cell Absolute Count,11,0.164261392083979,0.967533682599991,2,0.969648873672584,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90002004,CCR2 on CD14+ CD16- monocyte,27,0.165576218218976,0.967533682599991,3,0.955038924711573,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001632,CD8+ Natural Killer T %lymphocyte,27,0.167222159545891,0.967533682599991,1,0.0913766246145885,0.533323184048608
Cardiac conduction disorders,ebi-a-GCST90002058,CD8 on CD8+ T cell,27,0.168582768755762,0.967533682599991,1,0.907659807009711,0.996292048562196
Cardiac conduction disorders,ebi-a-GCST90001758,CD20 on memory B cell,28,0.169477705815595,0.967533682599991,5,0.337052618805039,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90002094,CD11b on Monocytic Myeloid-Derived Suppressor Cells,16,0.173986595571357,0.967533682599991,1,0.0164765358317811,0.355532605188649
Cardiac conduction disorders,ebi-a-GCST90001882,HVEM on Central Memory CD8+ T cell,18,0.175662931236779,0.967533682599991,1,0.148805065228843,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90001729,CD19 on IgD+ CD38+ B cell,21,0.176514173009708,0.967533682599991,4,0.271695874469808,0.783932034467669
Cardiac conduction disorders,ebi-a-GCST90001904,CD86 on CD62L+ myeloid Dendritic Cell,22,0.176965072205239,0.967533682599991,1,0.226628916792518,0.689491193763056
Cardiac conduction disorders,ebi-a-GCST90002012,CX3CR1 on CD14- CD16+ monocyte,18,0.17930694911245,0.967533682599991,1,0.0164765358317811,0.355532605188649
Cardiac conduction disorders,ebi-a-GCST90001412,IgD+ CD24+ B cell Absolute Count,23,0.180149312060444,0.967533682599991,1,0.450736588429116,0.863275701133049
Cardiac conduction disorders,ebi-a-GCST90001505,CD25++ CD4+ T cell %CD4+ T cell,26,0.182596976468166,0.967533682599991,1,0.849297482135301,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001985,CD40 on monocytes,29,0.182770284911241,0.967533682599991,5,0.90294583223997,0.994715281614631
Cardiac conduction disorders,ebi-a-GCST90001887,CD28 on secreting CD4 regulatory T cell,17,0.183808775593118,0.967533682599991,3,0.402260728299894,0.830868533670716
Cardiac conduction disorders,ebi-a-GCST90001687,CD28- CD8+ T cell Absolute Count,14,0.183809452972723,0.967533682599991,3,0.203459924995504,0.666368476588003
Cardiac conduction disorders,ebi-a-GCST90001604,T cell %lymphocyte,17,0.184391402942969,0.967533682599991,2,0.0634063885914379,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001599,CD4-CD8- T cell %T cell,15,0.188982735780345,0.967533682599991,3,0.711747639469511,0.978327342306499
Cardiac conduction disorders,ebi-a-GCST90001650,HLA DR+ Natural Killer  %CD3- lymphocyte,23,0.189457462592166,0.967533682599991,3,0.115429847573042,0.56504772158739
Cardiac conduction disorders,ebi-a-GCST90001888,CD28 on CD39+ secreting CD4 regulatory T cell,21,0.189644679788275,0.967533682599991,2,0.0852395735174795,0.510859523586813
Cardiac conduction disorders,ebi-a-GCST90001468,CD62L- myeloid Dendritic Cell Absolute Count,16,0.192116438971771,0.967533682599991,3,0.0601603385945292,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90002088,CD11c on CD62L+ myeloid Dendritic Cell,26,0.192348163429101,0.967533682599991,1,0.940372627523633,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001717,BAFF-R on unswitched memory B cell,24,0.19426894051455,0.967533682599991,9,0.473903443954484,0.878919494768191
Cardiac conduction disorders,ebi-a-GCST90001834,CD62L on monocyte,25,0.195722368390189,0.967533682599991,2,0.556161843197085,0.912406050866569
Cardiac conduction disorders,ebi-a-GCST90001497,CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell,22,0.196042071161597,0.967533682599991,7,0.204191987883638,0.666368476588003
Cardiac conduction disorders,ebi-a-GCST90001540,Naive CD4+ T cell Absolute Count,25,0.196072955527201,0.967533682599991,2,0.817375214904406,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90002114,HLA DR on HLA DR+ CD4+ T cell,22,0.19694022309624,0.967533682599991,1,0.768177222501379,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001947,CD33 on CD33+ HLA DR+ CD14dim,27,0.197298471678135,0.967533682599991,5,0.0851399205961846,0.510859523586813
Cardiac conduction disorders,ebi-a-GCST90001485,CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell,36,0.197444210702206,0.967533682599991,15,0.365630519881085,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90001527,CD33dim HLA DR+ CD11b- Absolute Count,28,0.206722762802183,0.967533682599991,2,0.445926062878089,0.863275701133049
Cardiac conduction disorders,ebi-a-GCST90001712,BAFF-R on IgD- CD38- B cell,17,0.207760205345408,0.967533682599991,7,0.536729727018374,0.898256411460129
Cardiac conduction disorders,ebi-a-GCST90001590,CD4+ T cell Absolute Count,24,0.207814046815765,0.967533682599991,1,0.0081968031610423,0.355389965625194
Cardiac conduction disorders,ebi-a-GCST90001524,Granulocytic Myeloid-Derived Suppressor Cells Absolute Count,21,0.208890305818911,0.967533682599991,2,0.149749885378625,0.59024792483653
Cardiac conduction disorders,ebi-a-GCST90002060,CD8 on HLA DR+ CD8+ T cell,25,0.2095027026445,0.967533682599991,2,0.647414372956136,0.976142016461755
Cardiac conduction disorders,ebi-a-GCST90001498,Activated & resting CD4 regulatory T cell Absolute Count,19,0.210904544724026,0.967533682599991,1,0.367550452545685,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90001572,Terminally Differentiated CD4-CD8- T cell Absolute Count,22,0.213632179246631,0.967533682599991,1,0.394137767651217,0.830700086681557
Cardiac conduction disorders,ebi-a-GCST90001963,FSC-A on myeloid Dendritic Cell,20,0.213764836928242,0.967533682599991,3,0.0732218752027714,0.504895389615419
Cardiac conduction disorders,ebi-a-GCST90001992,CCR2 on CD14+ CD16+ monocyte,37,0.215197373022767,0.967533682599991,2,0.100342645267085,0.545140297631404
Cardiac conduction disorders,ebi-a-GCST90001769,CD24 on IgD- CD38- B cell,29,0.215450311595582,0.967533682599991,2,0.420242953633792,0.844660506144741
Cardiac conduction disorders,ebi-a-GCST90001574,Terminally Differentiated CD4-CD8- T cell %T cell,24,0.21702064524308,0.967533682599991,3,0.0972641997630639,0.543917375095975
Cardiac conduction disorders,ebi-a-GCST90001475,HLA DR++ monocyte %monocyte,22,0.218458006697606,0.967533682599991,5,0.363163823580583,0.804270920871231
Cardiac conduction disorders,ebi-a-GCST90001512,CD25++ CD45RA- CD4 not regulatory T cell %T cell,30,0.222163809212434,0.967533682599991,3,0.864016249611396,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001775,CD25 on B cell,25,0.222258242648447,0.967533682599991,3,0.772615614793042,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001535,CD45RA- CD4+ T cell %CD4+ T cell,30,0.222294366448042,0.967533682599991,4,0.570737932170925,0.921051463763142
Cardiac conduction disorders,ebi-a-GCST90001668,CD28+ CD45RA- CD8dim T cell %CD8dim T cell,28,0.223286428138355,0.967533682599991,2,0.662211934767256,0.976142016461755
Cardiac conduction disorders,ebi-a-GCST90002006,CD64 on monocyte,29,0.23508378334243,0.967533682599991,8,0.0532638625734809,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001635,CD8dim Natural Killer T %lymphocyte,26,0.2355244844939,0.967533682599991,6,0.849377769280481,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001678,CD28- CD25++ CD8+ T cell Absolute Count,25,0.235715416369491,0.967533682599991,1,0.0272658234778897,0.436087468485924
Cardiac conduction disorders,ebi-a-GCST90001462,CD62L- Dendritic Cell Absolute Count,18,0.236930112262761,0.967533682599991,3,0.0597444800288841,0.497194129733342
Cardiac conduction disorders,ebi-a-GCST90001531,CD33dim HLA DR- Absolute Count,24,0.240563149809944,0.967533682599991,3,0.297779809113221,0.799789133326217
Cardiac conduction disorders,ebi-a-GCST90002003,CCR2 on CD14- CD16-,17,0.241121259356903,0.967533682599991,3,0.0169859070024231,0.355532605188649
Cardiac conduction disorders,ebi-a-GCST90002010,HLA DR on monocyte,17,0.242004014039028,0.967533682599991,5,0.882708636997739,0.988041030180951
Cardiac conduction disorders,ebi-a-GCST90001957,CD33 on CD33+ HLA DR+ CD14-,21,0.24539493593503,0.967533682599991,5,0.0847469313769622,0.510859523586813
Cardiac conduction disorders,ebi-a-GCST90001804,CD27 on IgD- CD38dim B cell,31,0.245465865148745,0.967533682599991,9,0.705075558889087,0.978327342306499
Cardiac conduction disorders,ebi-a-GCST90002079,SSC-A on lymphocyte,21,0.245711726341905,0.967533682599991,1,0.429828993313716,0.85326328502904
Cardiac conduction disorders,ebi-a-GCST90002101,CD45RA on Terminally Differentiated CD8+ T cell,14,0.247342797164317,0.967533682599991,1,0.181832935697386,0.641701116094846
Cardiac conduction disorders,ebi-a-GCST90001647,Natural Killer %lymphocyte,27,0.248416151633014,0.967533682599991,3,0.0339231050071218,0.445631311868571
Cardiac conduction disorders,ebi-a-GCST90001736,CD19 on memory B cell,24,0.248901879716816,0.967533682599991,3,0.4657202126356,0.878919494768191
Cardiac conduction disorders,ebi-a-GCST90001754,CD20 on IgD- CD27- B cell,19,0.249017138142456,0.967533682599991,4,0.965912889070025,0.996639138617528
Cardiac conduction disorders,ebi-a-GCST90001624,HLA DR+ CD4+ T cell Absolute Count,24,0.250275136692924,0.967533682599991,2,0.761336021722387,0.987772535434594
Cardiac conduction disorders,ebi-a-GCST90001987,CD64 on CD14+ CD16- monocyte,35,0.251630929484282,0.967533682599991,9,0.0448351754683866,0.494817300169285
